number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
3,Live_event_support,20768038,,11547,20230309101554,1143699311,,Performing arts,en
10,Stage_illusion,17947306,,1948,20210223193042,1008527867,,Performing arts,en
11,Big_Apple_Circus,1601154,,37715,20230627163028,1162201789,,Performing arts,en
12,The_Cost_of_Living_(2004_film),39232274,,11145,20230123101221,1135217911,,Performing arts,en
15,Titling,9947692,,7589,20220801182420,1101767782,,Performing arts,en
18,Still/Here,72157125,,14529,20230512222643,1154499338,,Performing arts,en
28,Magic_set,37579176,,1289,20211214231557,1060344285,,Performing arts,en
32,Marc_Routh,54471946,,16962,20230701195029,1162901714,,Performing arts,en
34,Bergamask,2978117,,3632,20230714211219,1165385956,,Performing arts,en
35,Offstage_musicians_and_singers_in_popular_music,54359172,,21600,20230720004221,1166198812,,Performing arts,en
36,Sword_dance,469033,,16209,20230721083027,1166399110,,Performing arts,en
38,Theatre_in_education,47796136,,12304,20220605095822,1091615106,,Performing arts,en
44,Exposure_(magic),2190281,,7050,20230317012522,1145054713,,Performing arts,en
45,Tanztheater,2416264,,3043,20220422135851,1084089369,,Performing arts,en
46,Classical_acting,36095645,,12330,20230526011841,1157060566,,Performing arts,en
47,Old_measures,16589311,,3978,20230120161901,1134779459,,Performing arts,en
50,Gerald_Morice,34339115,,3875,20230420202707,1150923779,,Performing arts,en
54,Strictly_Come_Dancing_Live!,60045126,,49663,20230506130532,1153453489,,Performing arts,en
55,Strolling_players,28139524,,1138,20220527010844,1090041062,,Performing arts,en
58,Contemporary_circus,30874535,,9526,20230707192910,1164059604,,Performing arts,en
63,Extravaganza,5607329,,1774,20230521081304,1156118026,,Performing arts,en
64,Beef_Trust_(burlesque),53367290,,14458,20210321004559,1013329331,,Performing arts,en
69,Kneehigh_Theatre,3715516,,13748,20230621165025,1161265336,,Performing arts,en
70,Fédération_Internationale_des_Sociétés_Magiques,3725569,,16015,20230325030236,1146473937,,Performing arts,en
71,War_dance,10164222,,3311,20230312130504,1144213627,,Performing arts,en
75,Theatre,20913771,,87501,20230714195247,1165376485,,Performing arts,en
82,Stage_clothes,1421479,,4123,20230430012426,1152403408,,Performing arts,en
83,Workshop_production,7199911,,1885,20220714014301,1098063335,,Performing arts,en
84,Show_choir,4985419,,14040,20230314044714,1144515966,,Performing arts,en
85,Site-specific_performance,47104732,,1231,20230419024923,1150610311,,Performing arts,en
91,Teatro_di_narrazione,4928265,,2920,20220409221607,1081822240,,Performing arts,en
92,Platform_magic,18080565,,4193,20221128235723,1124446204,,Performing arts,en
93,Canadian_clowning,12946273,,2470,20220202091951,1069439000,,Performing arts,en
99,Pustra/Vile-een's_Vaudeville,18938497,,3325,20230702023420,1162952964,,Performing arts,en
105,Miss_Exotic_World_Pageant,6381655,,16908,20220608010305,1092067160,,Performing arts,en
107,Mechanical_magic,64178188,,1915,20230319141717,1145509669,,Performing arts,en
108,Legacy_Robe,6008123,,7388,20230523094010,1156530554,,Performing arts,en
112,Entr'acte,360921,,9835,20220112090359,1065197734,,Performing arts,en
113,Theatre_for_Young_Audiences,55060343,,7633,20230518192150,1155570969,,Performing arts,en
115,Stunt_casting,11241226,,4108,20230715164907,1165510238,,Performing arts,en
126,Smart_Set_Company,59763587,,3429,20220531022514,1090732346,,Performing arts,en
130,List_of_circus_skills,1415006,,4774,20230414025313,1149730630,,Performing arts,en
131,Ringmaster_(circus),2906657,,4226,20230418062037,1150442154,,Performing arts,en
137,Performance_art,149281,,144651,20230722074746,1166864096,,Performing arts,en
138,Withrow_Minstrels,37750583,,5009,20220819005543,1105189130,,Performing arts,en
140,Circus,156999,,70685,20230712224658,1165088830,,Performing arts,en
147,Mouth_trumpet,7689500,,1405,20230421144236,1151038675,,Performing arts,en
158,Olio_(musical_number),13967111,,2746,20230322053356,1146000131,,Performing arts,en
161,Theatre_Museum,1929017,,11092,20221028113603,1166897646,,Performing arts,en
162,Showtime_(busking),46712428,,3664,20220630021427,1095739036,,Performing arts,en
165,Aerial_rigging,6782080,,3142,20230513042706,1154536442,,Performing arts,en
166,Moon_Water_(dance),64811123,,3534,20221005160006,1114258397,,Performing arts,en
167,Combination_company,22648979,,10109,20230419024928,1150610321,,Performing arts,en
168,Corporeal_mime,6398151,,4416,20230514181932,1154796688,,Performing arts,en
170,Tom_show,10787339,,13711,20221102222914,1119690690,,Performing arts,en
171,Theatre_pedagogy,33998230,,7166,20230311182316,1144078512,,Performing arts,en
184,Supernumerary_actor,7965724,,2625,20230109050322,1132503770,,Performing arts,en
186,Christina's_World_(opera),74086942,,6187,20230704140333,1163371733,,Performing arts,en
188,Magic_store,37578611,,940,20230105122931,1131720852,,Performing arts,en
189,Circus_clown,1430114,,26692,20230520220945,1156034239,,Performing arts,en
206,Law_of_reentry,39719742,,1109,20190721173933,907261527,,Performing arts,en
207,Given_circumstances,33923340,,1987,20210812071932,1038387473,,Performing arts,en
212,Dance,7885,,63146,20230715114604,1167142490,,Performing arts,en
214,Parlor_magic,3152058,,58,20131024040406,578501439,,Performing arts,en
215,Concert_performance,8932309,,11668,20230313173945,1144420339,,Performing arts,en
226,Music_Theatre_Wales,7871548,,7563,20220721143602,1099580974,,Performing arts,en
228,Flea_circus,859160,,11333,20230316080741,1144916371,,Performing arts,en
232,Happening,144048,,31756,20230709212317,1164574090,,Performing arts,en
238,Edwardian_musical_comedy,11665131,,14869,20220615100335,1093232533,,Performing arts,en
240,Sam_T._Jack,42833063,,12776,20221017215024,1116697410,,Performing arts,en
243,The_gods_(theatrical),4619460,,1973,20230714205828,1165384296,,Performing arts,en
246,Repertory_theatre,54273,,17958,20230608051837,1159090742,,Performing arts,en
250,History_of_opera,71049939,,347026,20230716091255,1167404920,,Performing arts,en
253,Complicité,1356167,,30572,20230317113352,1145120521,,Performing arts,en
255,Women_in_dance,42517527,,46842,20230430053248,1152430275,,Performing arts,en
257,The_Young_Americans,9596143,,8636,20230412030716,1149416680,,Performing arts,en
263,Race-reversed_casting,64269892,,7627,20220923220047,1111955186,,Performing arts,en
264,New_Art_Club,23561670,,2675,20220926125040,1112463147,,Performing arts,en
273,Closet_drama,1061223,,8180,20230419030038,1150611343,,Performing arts,en
274,Outline_of_performing_arts,6556808,,6274,20211028035434,1052243582,,Performing arts,en
281,Amateur_dramatics_in_Glasgow,28589835,,3726,20220919095833,1111108815,,Performing arts,en
285,Kwagh-Hir,63199881,,20116,20230714204555,1165382796,,Performing arts,en
292,Whitehall_farce,19810565,,7529,20230419030550,1150611818,,Performing arts,en
297,Municipal_theatre,70366963,,906,20230419030607,1150611841,,Performing arts,en
300,Maach,39684225,,6802,20211109020200,1054270689,,Performing arts,en
302,Impalement_arts,9470846,,77365,20230624130613,1161699432,,Performing arts,en
303,Presentational_and_representational_acting,30865724,,18748,20220630124249,1095798108,,Performing arts,en
305,Sciantosa,34840725,,2371,20181123222133,870306918,,Performing arts,en
306,History_of_theatre,23477542,,131226,20230710000506,1164595699,,Performing arts,en
307,Cross-dressing_in_music_and_opera,59479369,,8496,20230701155115,1162870864,,Performing arts,en
310,Acting_instructor,15098680,,404,20220426032559,1084709053,,Performing arts,en
312,11_o'clock_number,32183572,,4945,20230624014845,1161641154,,Performing arts,en
315,Play_(theatre),26744396,,13473,20230405230833,1148401351,,Performing arts,en
316,Digital_performance,33513826,,17951,20230714162028,1165350694,,Performing arts,en
318,Arioso,4558097,,2928,20190812073720,910462825,,Performing arts,en
320,Aldwych_farce,36009933,,19640,20230425001225,1151589143,,Performing arts,en
325,Atmospheric_theatre,11185917,,39452,20230619025214,1160835857,,Performing arts,en
327,Theatre_de_l'Ange_Fou,8251319,,3215,20220410081658,1081887943,,Performing arts,en
329,Theatretrain,28099661,,11329,20221215083810,1127540548,,Performing arts,en
330,Stage_name,53412,,27018,20230718181112,1165989663,,Performing arts,en
338,Vocal_weight,2037255,,1292,20220920012205,1111243081,,Performing arts,en
347,Close-up_magic,17971787,,5814,20230603011547,1158272230,,Performing arts,en
351,Comic_opera,690708,,22147,20230601141305,1158026176,,Performing arts,en
359,Hip-hop_theater,24135873,,24775,20230629124914,1162478984,,Performing arts,en
366,Opera,22348,,108083,20230703160257,1163216998,,Performing arts,en
371,Cloud_swing,4790902,,1434,20210605035909,1026940259,,Performing arts,en
373,Gabriella_Slade,74180088,,6926,20230710040800,1166932657,,Performing arts,en
375,Me_and_the_Man_in_the_Moon,74076458,,2331,20230623002239,1161479407,,Performing arts,en
377,Theatre_music,36748892,,5653,20221128120404,1124337463,,Performing arts,en
378,Street_magic,2020234,,7167,20221005044711,1114167568,,Performing arts,en
381,Boogaloo_(funk_dance),60820489,,25722,20230517175232,1166746843,,Performing arts,en
385,Dawson_casting,57954001,,6085,20230120191408,1134802988,,Performing arts,en
390,Gaiety_Girls,16229575,,8886,20230711231640,1164924715,,Performing arts,en
400,Hat_manipulation,4338531,,2558,20230319063632,1145451345,,Performing arts,en
403,Trepany_House,56646460,,13379,20220525105945,1089737031,,Performing arts,en
408,Opera_film,42325044,,2892,20230603020203,1158277057,,Performing arts,en
409,Intercultural_theatre,14905081,,15165,20230315114241,1144755976,,Performing arts,en
412,Scottish_sword_dances,3675296,,12442,20230619084918,1160877429,,Performing arts,en
415,Margolis_Brown_Adaptors_Company,12473261,,7319,20220822074247,1105892401,,Performing arts,en
416,The_Mercury_Wonder_Show,33729175,,18315,20221022190050,1117627694,,Performing arts,en
422,Sequence_dance,2897219,,6259,20220721163911,1099599495,,Performing arts,en
423,Dream_ballet,1460922,,11606,20230401134308,1147678876,,Performing arts,en
432,"Academy_of_Performing_Arts,_Tel_Aviv",54726306,,8601,20220805121705,1102510811,,Performing arts,en
433,The_Slutcracker,33147229,,11430,20230601020518,1157958709,,Performing arts,en
436,Development_of_musical_theatre,48184504,,45917,20230716090126,1165615033,,Performing arts,en
437,Matinée_idol,5139737,,9418,20230425231024,1151736808,,Performing arts,en
440,Guarantee_(filmmaking),4129498,,1747,20230524183800,1156807440,,Performing arts,en
441,Servante,14128884,,1782,20230426165506,1151850139,,Performing arts,en
442,Theatre_games,3664940,,890,20211209140700,1059444883,,Performing arts,en
443,"Po-ca-hon-tas,_or_The_Gentle_Savage",3348936,,14160,20230522215648,1156443877,,Performing arts,en
451,Tab_show,21156386,,6197,20201230011101,997105491,,Performing arts,en
452,Invisible_thread,2485912,,1125,20230317063718,1145091727,,Performing arts,en
453,List_of_rock_musicals,3755047,,14022,20230117165439,1134229798,,Performing arts,en
461,Outline_of_acting,14463801,,6604,20230416213632,1150205058,,Performing arts,en
462,Alice_Fearn,74027586,,12515,20230702080046,1166969320,,Performing arts,en
465,Enter_Achilles,44046774,,3934,20200315133044,945672876,,Performing arts,en
469,Hungry_Artist,62534285,,56,20191208205027,929878759,,Performing arts,en
471,Chorus_line,773796,,7960,20230527074129,1157233518,,Performing arts,en
474,Chotto_Ookii_Theatre_Company,9957523,,2493,20220416171752,1083042422,,Performing arts,en
482,Theatre_for_development,3451820,,12381,20230518183408,1155563506,,Performing arts,en
